Incident ID,Offence Code,CR Number,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Place,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Start_Date_Time,End_Date_Time,Police District Number
201122541,2303,17010102,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,ROCKVILLE,2100 BLK  CHAPMAN AVE,ROCKVILLE,MD,20850,Convenience Store,2100,,CHAPMAN,,AVE,2/24/2017 15:18,,1D
201122542,1305,17010091,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - NON-FAMILY-OTHER WEAPON,SILVER SPRING,600 BLK  SLIGO AVE,SILVER SPRING,MD,20910,Bar/Night Club,600,,SLIGO,,AVE,2/24/2017 20:03,2/24/2017 20:03,3D
201122543,3699,17010020,1,Crime Against Person,Fondling,SEX OFFENSE - FONDLING,WHEATON,2600 BLK  BEL PRE RD,SILVER SPRING,MD,20906,Residence - Nursing Home,2600,,BEL PRE,,RD,2/8/2017 14:45,2/17/2017 15:00,4D
201122544,2303,17010021,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,BETHESDA,7100 BLK  DEMOCRACY BLV,BETHESDA,MD,20817,Retail - Mall,7100,,DEMOCRACY,,BLV,2/24/2017 14:39,,2D
201122545,3532,17010066,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - COCAINE - POSSESS,ROCKVILLE,1  BLK  BEALL AVE,ROCKVILLE,MD,20850,Street - Residential,1,,BEALL,,AVE,2/24/2017 17:00,2/24/2017 17:51,1D
201122546,9106,17010096,1,Other,All Other Offenses,MENTAL ILLNESS,BETHESDA,10400 BLK  MASTERS TER,POTOMAC,MD,20854,Residence - Single Family,10400,,MASTERS,,TER,2/24/2017 20:21,,2D
201122547,9106,17010106,1,Other,All Other Offenses,MENTAL ILLNESS,SILVER SPRING,11300 BLK  CRESCENDO PL,SILVER SPRING,MD,20901,Residence -Townhouse/Duplex,11300,,CRESCENDO,,PL,2/24/2017 20:54,2/24/2017 20:55,3D
201122548,3550,17010094,1,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,ROCKVILLE,1100 BLK  NELSON ST,ROCKVILLE,MD,20850,Parking Lot - Commercial,1100,,NELSON,,ST,2/24/2017 20:20,,1D
201122548,3542,17010094,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - SYNTHETIC NARCOTIC - POSSESS,ROCKVILLE,1100 BLK  NELSON ST,ROCKVILLE,MD,20850,Parking Lot - Commercial,1100,,NELSON,,ST,2/24/2017 20:20,,1D
201122549,3562,17010083,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,WHEATON,10900 BLK  INWOOD AVE,SILVER SPRING,MD,20902,Residence - Apartment/Condo,10900,,INWOOD,,AVE,2/24/2017 18:30,2/24/2017 19:10,4D
201122550,1205,17010087,1,Crime Against Property,Robbery,ROBBERY - STREET-OTHER WEAPON,ROCKVILLE,2000 BLK  VEIRS MILL RD,ROCKVILLE,MD,20852,Street - Other,2000,,VEIRS MILL,,RD,2/24/2017 19:26,,1D
201122551,5311,17010078,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,SILVER SPRING,8500 BLK  2ND AVE,SILVER SPRING,MD,20910,Street - Bus Stop,8500,,2ND,,AVE,2/24/2017 19:08,,3D
201122551,1399,17010078,2,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,SILVER SPRING,8500 BLK  2ND AVE,SILVER SPRING,MD,20910,Street - Bus Stop,8500,,2ND,,AVE,2/24/2017 19:08,,3D
201122552,2303,17010059,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,GERMANTOWN,13000 BLK  MIDDLEBROOK RD,GERMANTOWN,MD,20874,Grocery/Supermarket,13000,,MIDDLEBROOK,,RD,2/24/2017 16:54,,5D
201122553,2303,17010074,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,Retail - Department/Discount Store,11200,,NEW HAMPSHIRE,,AVE,2/24/2017 18:19,,3D
201122553,2999,17010074,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,Retail - Department/Discount Store,11200,,NEW HAMPSHIRE,,AVE,2/24/2017 18:19,,3D
201122554,9107,17010081,1,Other,All Other Offenses,MISSING PERSON,SILVER SPRING,8800 BLK  PINEY BRANCH RD,SILVER SPRING,MD,20903,Street - In vehicle,8800,,PINEY BRANCH,,RD,2/24/2017 19:00,,3D
201122555,4199,17010025,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),SILVER SPRING,11400 BLK  LOCKWOOD DR,SILVER SPRING,MD,20904,Street - Bus Stop,11400,,LOCKWOOD,,DR,2/24/2017 15:52,,3D
201122556,2305,17010103,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,WHEATON,1700 BLK  REPUBLIC RD,SILVER SPRING,MD,20902,Street - Residential,1700,,REPUBLIC,,RD,2/24/2017 18:20,2/24/2017 18:25,4D
201122557,2404,17010060,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,MONTGOMERY VILLAGE,9800 BLK  WALKER HOUSE RD,MONTGOMERY VILLAGE,MD,20886,Residence - Apartment/Condo,9800,,WALKER HOUSE,,RD,2/24/2017 12:00,2/24/2017 13:00,6D
201122558,4104,17010099,1,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902,Grocery/Supermarket,11200,,GEORGIA,,AVE,2/24/2017 21:08,,4D
201122559,9106,17010100,1,Other,All Other Offenses,MENTAL ILLNESS,ROCKVILLE,12500 BLK  PARK POTOMAC AVE,POTOMAC,MD,20854,Grocery/Supermarket,12500,,PARK POTOMAC,,AVE,2/24/2017 19:13,,1D
201122560,3562,17010093,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,800 BLK E FRANKLIN AVE,SILVER SPRING,MD,20901,Street - Residential,800,E,FRANKLIN,,AVE,2/24/2017 20:27,2/24/2017 0:00,3D
201122561,5404,17008952,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,MONTGOMERY VILLAGE,1100 BLK  CLOPPER RD,GAITHERSBURG,MD,20878,Street - In vehicle,1100,,CLOPPER,,RD,2/19/2017 2:06,,6D
201122562,2204,17010116,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-RESIDENTIAL,SILVER SPRING,2800 BLK  DUVALL RD,BURTONSVILLE,MD,20904,Residence - Single Family,2800,,DUVALL,,RD,2/24/2017 12:22,,3D
201122563,4104,17010110,1,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,WHEATON,11200 BLK  GRANDVIEW AVE,SILVER SPRING,MD,20902,Parking Lot - Other,11200,,GRANDVIEW,,AVE,2/24/2017 21:52,,4D
201122564,9101,17010109,1,Other,All Other Offenses,SUDDEN DEATH,BETHESDA,4100 BLK  PLYERS MILL RD,KENSINGTON,MD,20895,Residence - Single Family,4100,,PLYERS MILL,,RD,2/24/2017 21:37,,2D
201122565,5404,17010098,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,GERMANTOWN,21600 BLK  RIDGE RD,GERMANTOWN,MD,20874,Street - In vehicle,21600,,RIDGE,,RD,2/24/2017 19:53,,5D
